"class_id","class_number","course_id","instructor_id","instructor_id_2","instructor_id_3","location_id"
"11524.0.FB","11524.0.FB","11524","601","","","100"
"11525.0.01","11525.0.01","11525","583","","","100"
"11525.0.02","11525.0.02","11525","583","","","100"
"11525.0.03","11525.0.03","11525","583","","","100"
"11525.0.04","11525.0.04","11525","601","","","100"
"11525.0.05","11525.0.05","11525","601","","","100"
"11526.0.FB","11526.0.FB","11526","601","","","100"
"11527.0.01","11527.0.01","11527","601","","","100"
"11527.0.02","11527.0.02","11527","601","","","100"
"11528.0.SP","11528.0.SP","11528","601","","","100"
"11531.0.01","11531.0.01","11531","209","","","100"
"11531.0.02","11531.0.02","11531","209","","","100"
"11531.0.03","11531.0.03","11531","209","","","100"
"12524.0.01","12524.0.01","12524","209","","","100"
"12524.0.02","12524.0.02","12524","209","","","100"
"12525.0.01","12525.0.01","12525","209","","","100"
"12526.0.01","12526.0.01","12526","209","","","100"
"11532.0.01","11532.0.01","11532","258","","","100"
"12583.0.OL","12583.0.OL","12583","258","","","100"
"11533.0.01","11533.0.01","11533","258","","","100"
"11533.0.02","11533.0.02","11533","258","","","100"
"12582.0.SP","12582.0.SP","12582","258","","","100"
"12584.0.OL","12584.0.OL","12584","258","","","100"
"11534.0.01","11534.0.01","11534","258","","","100"
"11535.0.SP","11535.0.SP","11535","258","","","100"
"11536.0.01","11536.0.01","11536","258","","","100"
"11536.0.02","11536.0.02","11536","258","","","100"
"12545.0.OL","12545.0.OL","12545","583","","","100"
"11538.0.01","11538.0.01","11538","583","","","100"
"11539.0.01","11539.0.01","11539","583","","","100"
"12590.0.FB","12590.0.FB","12590","601","","","100"
"11540.0.01","11540.0.01","11540","583","","","100"
"12534.0.OL","12534.0.OL","12534","543","","","100"
"11541.0.01","11541.0.01","11541","543","","","100"
"11541.0.02","11541.0.02","11541","27675","","","100"
"11541.0.03","11541.0.03","11541","26811","","","100"
"11541.0.04","11541.0.04","11541","26811","","","100"
"11541.0.05","11541.0.05","11541","27675","","","100"
"11541.0.06","11541.0.06","11541","27675","","","100"
"12546.0.OL","12546.0.OL","12546","222","","","100"
"11542.0.01","11542.0.01","11542","222","","","100"
"11542.0.02","11542.0.02","11542","222","","","100"
"12533.0.OL","12533.0.OL","12533","543","","","100"
"11543.0.01","11543.0.01","11543","543","","","100"
"11543.0.02","11543.0.02","11543","543","","","100"
"11543.0.03","11543.0.03","11543","543","","","100"
"11544.0.01","11544.0.01","11544","543","","","100"
"11545.0.01","11545.0.01","11545","27675","","","100"
"12532.0.OL","12532.0.OL","12532","355","","","100"
"11546.0.01","11546.0.01","11546","222","","","100"
"11546.0.02","11546.0.02","11546","222","","","100"
"11546.0.03","11546.0.03","11546","27675","","","100"
"11546.0.04","11546.0.04","11546","27675","","","100"
"11546.0.05","11546.0.05","11546","26811","","","100"
"11546.0.06","11546.0.06","11546","26811","","","100"
"11546.0.07","11546.0.07","11546","355","","","100"
"11548.0.01","11548.0.01","11548","222","","","100"
"11548.0.02","11548.0.02","11548","222","","","100"
"12535.0.01","12535.0.01","12535","174","","","100"
"11550.0.01","11550.0.01","11550","174","","","100"
"11550.0.02","11550.0.02","11550","174","","","100"
"11550.0.03","11550.0.03","11550","174","","","100"
"11551.0.01","11551.0.01","11551","174","","","100"
"11552.0.01","11552.0.01","11552","174","","","100"
"11553.0.01","11553.0.01","11553","140","","","100"
"11556.0.01","11556.0.01","11556","243","","","100"
"11556.0.02","11556.0.02","11556","243","","","100"
"11556.0.03","11556.0.03","11556","243","","","100"
"11556.0.05","11556.0.05","11556","571","","","100"
"11556.0.06","11556.0.06","11556","571","","","100"
"11556.0.10","11556.0.10","11556","568","","","100"
"11556.0.CT8","11556.0.CT8","11556","568","585","","100"
"11556.0.CT9","11556.0.CT9","11556","568","585","","100"
"11556.0.ic4","11556.0.ic4","11556","243","","","100"
"11556.0.ic7","11556.0.ic7","11556","571","","","100"
"12530.0.01","12530.0.01","12530","128","","","100"
"12530.0.02","12530.0.02","12530","128","","","100"
"11557.0.01","11557.0.01","11557","568","","","100"
"11557.0.02","11557.0.02","11557","568","","","100"
"11557.0.03","11557.0.03","11557","568","","","100"
"11557.0.04","11557.0.04","11557","128","","","100"
