"course_id","course_number","course_name","location_id"
"11524","1003FB","Drawing & Painting","100"
"11525","1003S","Drawing & Painting ","100"
"11526","1004FB","Drawing & Painting 2","100"
"11527","1004S","Drawing & Painting 2","100"
"11528","1004SP","Drawing & Painting 2","100"
"11531","1013A","Honors Portfolio 1","100"
"12524","1014A","Honors Portfolio 2 ","100"
"12525","1015A","Honors Development 1 ","100"
"12526","1016A","Honors Development 2","100"
"11532","1026S","AP Studio Art 2D","100"
"12583","1027OL","2D Design ","100"
"11533","1027S","2D Design","100"
"12582","1027SP","2D Design ","100"
"12584","1029OL","2D Design 2 ","100"
"11534","1029S","2D Design 2","100"
"11535","1029SP","2D Design 2 ","100"
"11536","1035S","3D Design","100"
"12545","1041OL","Art History ","100"
"11538","1041S","Art History","100"
"11539","1042S","AP Art History","100"
"12590","1050FB","AP Studio Art ","100"
"11540","1050S","AP Studio Art Drawing/Painting","100"
"12534","1101OL","Personal Finance ","100"
"11541","1101S","Personal Finance","100"
"12546","1104OL","Computer Apps&Web ","100"
"11542","1104S","Computer Apps & Web Tools","100"
"12533","1108OL","Accounting 1 ","100"
"11543","1108S","Accounting 1","100"
"11544","1109S","Honors Accounting 2","100"
"11545","1111S","Marketing Principles","100"
"12532","1113OL","Business Basics ","100"
"11546","1113S","Business Basics","100"
"11548","1114S","Business Management","100"
"12535","1181S","Honors iOS App Development","100"
"11550","1183S","Intro to Web Page Design","100"
"11551","1184S","Honors Adv Web Page Design","100"
"11552","1187S","AP Computer Science Principles","100"
"11553","1188S","AP Computer Science A","100"
"11556","1201S","English 1","100"
"12530","1202A","Honors English 1 ","100"
"11557","1202S","Honors English 1","100"
"12551","1202SP","Honors English 1 ","100"
"11560","1203S","English 2","100"
"12531","1204A","Honors English 2 ","100"
"11561","1204S","Honors English 2","100"
"12552","1204SP","Honors English 2 ","100"
"11565","1205S","English 3","100"
"11568","1206S","Honors English 3","100"
"12553","1206SP","Honors English 3 ","100"
"11569","1206Y","Honors English 3 ","100"
"12554","1207OL","English 4 ","100"
"11571","1207S","English 4","100"
"11572","1208S","Honors Humanities","100"
"12585","1208SP","Honors Humanities ","100"
"11573","1209S","English Communications","100"
"11574","1210S","AP English","100"
"11575","1210SP","AP English ","100"
"11576","1210Y","AP English wrap","100"
"11577","1211A","Honors English 3","100"
"11578","1212A","Honors English 4","100"
"11579","1220S","CHS Humanities Modern Culture","100"
"11580","1221S","CHS English Composition","100"
"11583","1230Y","Yearbook I","100"
"11584","1231S","Journalism 1","100"
"11585","1232S","Journalism 2","100"
"12634","1233S","Yearbook 2","100"
"11587","1233Y","Yearbook 2","100"
"11588","1234S","Public Relations Sem","100"
"11589","1235S","Media Literacy","100"
"12540","1237OL","Learners PrepSuccess ","100"
"12539","1237S","Learners Prep for Success","100"
"11591","1250FB","Creative Writing","100"
"12542","1250OL","Creative Writing ","100"
"12592","1250S","Creative Writing","100"
"12543","1250SP","Creative Writing ","100"
"11592","1251S","Writing for Publication","100"
"12586","1251SP","Writing for Publication ","100"
"11593","1270S","Television Production 1","100"
"11594","1271S","Television Production 2","100"
"11595","1280S","Theater Arts","100"
"11596","1283S","Acting 1","100"
"11597","1284S","Acting 2","100"
"11598","1303S","Child & Adolescent Development","100"
"11600","1304S","Early Childhood Education Lab","100"
"11601","1305S","Elementary Education Exp","100"
"11602","1306S","Secondary Education Exp","100"
"11605","1334S","Regional & Int'l Cooking","100"
"12536","1336S","Intro to Culinary Arts","100"
"12537","1337S","Culinary Flavor & Techniques","100"
"12538","1338PB","Culinary Central Catering","100"
"11607","1401S","Health I/PE 1","100"
"11608","1401Y","Health I/PE 1","100"
"11609","1403S","Health 2/PE 2","100"
"11610","1403Y","Health 2/PE 2 ","100"
"11611","1405S","Driver Education","100"
"11612","1405Y","Driver Ed","100"
"11613","1410S","Applied Sports Medicine","100"
"11614","1425S","Resistance Training 1","100"
